ticker,name,exchange
BGI.UN,BRKFLD GLBINFRAS SEC,tsx
BGS,BAROYECA GOLD & SILVER INC.,tsxv
BGU,BRISTOL GATEUS EQ UN,tsx
BGU.U,BRISTOL GATEUSEQ USD,tsx
BHC,BAUSCH HEALTH CO,tsx
BHS,BAYHORSE SILVER INC.,tsxv
BHT,BRAVEHEART RESOURCES INC.,tsxv
BIG,BALD EAGLE GOLD CORP.,tsxv
BIK.PR.A,BIP INVEST SER 1 PR,tsx
BILD,BUILDDIRECT.COM TECHNOLOGIES INC.,tsxv
BIP.PR.A,BROOKFIELD INFRASPR1,tsx
BIP.PR.B,BROOKFIELD INFRASPR3,tsx
BIP.PR.C,BROOKFIELD INFRASPR5,tsx
BIP.PR.D,BROOKFIELD INFRASPR7,tsx
BIP.PR.E,BROOKFIELD INFRASPR9,tsx
BIP.PR.F,BROOKFIELD INFRAPR11,tsx
BIP.UN,BROOKFIELD INFRAS UN,tsx
BIPC,BROOKFLD INFRAS A SV,tsx
BIR,BIRCHCLIFF ENERGY,tsx
BIR.PR.A,BIRCHCLIFF ENGY PR A,tsx
BIR.PR.C,BIRCHCLIFF ENGY PR C,tsx
BITC,NINEPOINT BITCOIN UN,tsx
BITC.U,NINEPOINT BITCOIN US,tsx
BITF,BITFARMS LTD.,tsxv
BITI,BETAPRO INVERSBITCN,tsx
BITI.U,BETAPRO INVRSBITCNUS,tsx
BITK,BLOCKCHAINK2 CORP.,tsxv
BK,CDN BANC CORP CL  A ,tsx
BK.PR.A,CDN BANC CORP. PR,tsx
BKI,BLACK IRON INC. J,tsx
BKL.C,INVESCO SENIORLOANCA,tsx
BKL.F,INVESCO SNRLOANCAHEG,tsx
BKL.U,INVESCO SENIORLOANUS,tsx
BKM,PACIFIC BOOKER MINERALS INC.,tsxv
BKMT,BLOCKMINT TECHNOLOGIES INC.,tsxv
BL.UN,GLBL INNOVATION DIV,tsx
BLB.UN,BLOOM SELECT INCM UN,tsx
BLCK,1ST TRIDX INNOVTRANS,tsx
BLDP,BALLARD POWER SYS,tsx
BLDR,HORIZNNA INFRASDEV A,tsx
BLM,BLUMETRIC ENVIRONMENTAL INC.,tsxv
BLN,BLACKLINE SAFETY J,tsx
BLOK,GLOBALBLOCK DIGITAL ASSET TRADING LIMITED,tsxv
BLOV,BROMPTONNA LWVOLDVCA,tsx
BLTC.P,BALTIC I ACQUISITION CORP.,tsxv
BLU,BELLUS HEALTH INC.,tsx
BLUE,BLUE THUNDER MINING INC.,tsxv
BLX,BORALEX INC. CL A,tsx
BME,BARSELE MINERALS CORP.,tsxv
BMET,BEMETALS CORP.,tsxv
BMEX,BMEX GOLD INC.,tsxv
BMG,BLACK MOUNTAIN GOLD USA CORP.,tsxv
BMGB.P,BMGB CAPITAL CORP.,tsxv
BMK,MACDONALD MINES EXPLORATION LTD.,tsxv
BMM,BLACK MAMMOTH METALS CORPORATION,tsxv
BMO,BANK OF MONTREAL,tsx
BMO.PR.A,BK OF MON PR SER 26,tsx
BMO.PR.B,BK OF MON PR SER 38,tsx
BMO.PR.C,BK OF MON PR SER 40,tsx
BMO.PR.D,BK OF MON PR SER 42,tsx
BMO.PR.E,BK OF MON PR SER 44,tsx
BMO.PR.F,BK OF MON PR SER 46,tsx
BMO.PR.Q,BK OF MON PR SER 25,tsx
BMO.PR.S,BK OF MON PR SER 27,tsx
BMO.PR.T,BK OF MON PR SER 29,tsx
BMO.PR.W,BK OF MON PR SER 31,tsx
BMO.PR.Y,BK OF MON PR SER 33,tsx
BMR,BATTERY MINERAL RESOURCES CORP.,tsxv
BMV,BATHURST METALS CORP.,tsxv
BNC,PURPOSE CDN FIN INCM,tsx
BNCH,BENCHMARK METALS INC.,tsxv
BND,PURPOSE GBL BND FUND,tsx
BNE,BONTERRA ENERGY CORP,tsx
BNG,BENGAL ENERGY LTD. J,tsx
BNK,BIG BANCSPLT CORP A,tsx
BNK.PR.A,BIG BANCSPLT CORP PR,tsx
BNS,BANK OF NOVA SCOTIA,tsx
BNS.PR.H,BANK OF N S SR 38 PR,tsx
BNS.PR.I,BANK OF N S SR 40 PR,tsx
BNXA,BANXA HOLDINGS INC.,tsxv
BNZ,BONANZA MINING CORPORATION,tsxv
BOAT,THE LIMESTONE BOAT COMPANY LIMITED,tsxv
BOL,BOLD VENTURES INC.,tsxv
BOLD.P,BOLD CAPITAL ENTERPRISES LTD.,tsxv
BOS,AIRBOSS OF AMERICA J,tsx
BP,BACKSTAGEPLAY INC.,tsxv
BPF.UN,BOSTON PIZZA FND UN,tsx
BPO.PR.A,BROOKFLD OFFICE PRAA,tsx
BPO.PR.C,BROOKFLD OFFICE PRCC,tsx
BPO.PR.E,BROOKFLD OFFICE PREE,tsx
BPO.PR.G,BROOKFLD OFFICE PRGG,tsx
BPO.PR.I,BROOKFLD OFFICE PRII,tsx
BPO.PR.N,BROOKFLD OFFICE PR N,tsx
BPO.PR.P,BROOKFLD OFFICE PR P,tsx
BPO.PR.R,BROOKFLD OFFICE PR R,tsx
